,Team,Player,TotalStarts,QBR
1,ARZ,Carson Palmer,60,87
2,ATL,Matt Ryan,205,94.3
3,BLT,Joe Flacco,163,84.2
4,BUF,Ryan Fitzpatrick,53,82.3
5,CAR,Cam Newton,124,86.1
6,CHI,Jay Cutler,102,85.3
7,CIN,Andy Dalton,132,87.6
8,CLV,Baker Mayfield,44,89.4
9,DAL,Tony Romo,127,97.1
10,DEN,Peyton Manning,57,101.7
11,DET,Matthew Stafford,165,90.8
12,GB,Aaron Rodgers,190,104.1
13,HST,Matt Schaub,88,90.9
14,IND,Andrew Luck,85,89.5
15,JAX,Blake Bortles,73,80.6
16,KC,Alex Smith,76,94.8
17,LA,Jared Goff,69,91.5
18,LAC,Philip Rivers,224,95.1
19,LV,Derek Carr,110,92.6
20,MIA,Ryan Tannehill,88,87
21,MIN,Kirk Cousins,47,104.1
22,NE,Tom Brady,205,97
23,NO,Drew Brees,228,101.5
24,NYG,Eli Manning,211,84.1
25,NYJ,Mark Sanchez,61,71.7
26,PHI,Carson Wentz,68,89.2
27,PIT,Ben Roethlisberger,206,93.9
28,SEA,Russell Wilson,144,101.6
29,SF,Alex Smith,68,79.1
30,TB,Jameis Winston,70,86.9
31,TEN,Marcus Mariota,61,89.6
32,WAS,Kirk Cousins,57,93.7
